epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1335.66,0.91609,0.53591,0.28619,0.53428,1.25112,0.99105,0.98009,0.99366,0.80884,1,0.98894,0.995,0.93722,0.6852,0.38033,0.14971,0.38426,1.04951,0.0014159,0.0014159,0.0014159
61,1357.79,0.90263,0.55881,0.27177,0.51144,1.24509,0.99293,0.9823,0.9933,0.84785,0.99115,0.99091,0.99491,0.97282,0.67116,0.33423,0.15044,0.37476,1.01289,0.001406,0.001406,0.001406
62,1380.76,0.90786,0.54541,0.26579,0.53427,1.24496,0.98933,0.9823,0.99424,0.8224,0.98227,0.98066,0.99404,0.94984,0.75791,0.39837,0.14011,0.41554,1.06962,0.0013961,0.0013961,0.0013961
63,1403.98,0.88506,0.45958,0.24927,0.53548,1.24853,0.97933,0.9823,0.9867,0.82929,0.97348,0.99115,0.98736,0.95432,0.67704,0.44598,0.15317,0.46007,1.07311,0.0013862,0.0013862,0.0013862
64,1426.31,0.90303,0.53091,0.25988,0.51581,1.27023,0.99473,0.9823,0.99466,0.84207,0.99823,0.99115,0.995,0.97687,0.71993,0.34824,0.20861,0.39725,1.02837,0.0013763,0.0013763,0.0013763
65,1449.84,0.88545,0.49908,0.26344,0.51614,1.23144,0.99605,0.97345,0.9927,0.70769,0.98136,0.99115,0.99474,0.9717,0.99393,0.40743,0.19295,0.4633,1.20346,0.0013664,0.0013664,0.0013664
66,1471.64,0.89806,0.47111,0.25776,0.50483,1.23675,0.99792,0.97345,0.99378,0.81117,0.99749,1,0.995,0.96383,0.68795,0.41391,0.20299,0.40159,1.04249,0.0013565,0.0013565,0.0013565
67,1494.67,0.85737,0.44218,0.25393,0.50734,1.22696,0.99741,0.97345,0.99424,0.82939,1,0.99847,0.995,0.97894,0.68537,0.29426,0.12774,0.35469,1.03629,0.0013466,0.0013466,0.0013466
68,1517.48,0.90113,0.48303,0.24359,0.5203,1.2422,0.99884,0.97345,0.99465,0.85222,0.99862,1,0.995,0.92343,0.58839,0.4356,0.15673,0.33625,0.97607,0.0013367,0.0013367,0.0013367
69,1540.44,0.85313,0.46907,0.24177,0.51461,1.23186,0.99675,0.99115,0.995,0.84849,1,0.99708,0.995,0.97843,0.56692,0.27507,0.12712,0.33949,0.96828,0.0013268,0.0013268,0.0013268
70,1562.78,0.89351,0.43843,0.24499,0.50281,1.22951,0.99958,1,0.995,0.8597,0.99958,1,0.995,0.96983,0.61404,0.32423,0.08969,0.32998,0.97447,0.0013169,0.0013169,0.0013169
71,1585.07,0.86676,0.42454,0.22845,0.50605,1.23154,0.98921,0.9823,0.99424,0.73385,0.99812,0.99115,0.995,0.96975,0.95247,0.33676,0.09992,0.4125,1.09817,0.001307,0.001307,0.001307
72,1607.22,0.89156,0.45587,0.2389,0.51118,1.25042,1,0.98088,0.99457,0.83717,0.9986,1,0.995,0.97309,0.63954,0.30594,0.09853,0.33939,0.99251,0.0012971,0.0012971,0.0012971
